COG_ID	COG_Category_ID	Annotation	Gene	Pathway
COG0340	H	Biotin-(acetyl-CoA carboxylase) ligase	BirA2	Biotin biosynthesis
COG0341	U	Preprotein translocase subunit SecF	SecF	
COG0342	U	Preprotein translocase subunit SecD	SecD	
COG0343	J	Queuine/archaeosine tRNA-ribosyltransferase	Tgt	tRNA modification
COG0344	I	"Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase"	PlsY	
COG0345	E	Pyrroline-5-carboxylate reductase	ProC	Proline biosynthesis
COG0346	Q	"Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family"	GloA	
COG0347	TE	Nitrogen regulatory protein PII	GlnK	
COG0348	C	Polyferredoxin NapH	NapH	
COG0349	J	Ribonuclease D	Rnd	
COG0350	L	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)	AdaB	
COG0351	H	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	ThiD	Thiamine biosynthesis
COG0352	H	Thiamine monophosphate synthase	ThiE	Thiamine biosynthesis
COG0353	L	Recombinational DNA repair protein RecR	RecR	
COG0354	O	"Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters"	YgfZ	
COG0355	C	"FoF1-type ATP synthase, epsilon subunit"	AtpC	FoF1-type ATP synthase
COG0356	C	"FoF1-type ATP synthase, membrane subunit a"	AtpB	FoF1-type ATP synthase
COG0357	J	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	RsmG	16S rRNA modification
COG0358	L	DNA primase (bacterial type)	DnaG	
COG0359	J	Ribosomal protein L9	RplI	Ribosome 50S subunit
COG0360	J	Ribosomal protein S6	RpsF	Ribosome 30S subunit
COG0361	J	Translation initiation factor IF-1	InfA	Translation factors
COG0362	G	6-phosphogluconate dehydrogenase	Gnd	Pentose phosphate pathway
COG0363	G	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	NagB	Pentose phosphate pathway
COG0364	G	Glucose-6-phosphate 1-dehydrogenase	Zwf	Pentose phosphate pathway
COG0365	I	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Acs	
COG0366	G	Glycosidase/amylase (phosphorylase)	AmyA	
COG0367	E	Asparagine synthetase B (glutamine-hydrolyzing)	AsnB	Asparagine biosynthesis
COG0368	H	Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)	CobS	Cobalamine/B12 biosynthesis
COG0369	FP	Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases	CysJ	Cysteine biosynthesis
COG0370	P	Fe2+ transporter FeoB	FeoB	
COG0371	C	"Glycerol dehydrogenase or related enzyme, iron-containing ADH family"	GldA	Isoprenoid biosynthesis
COG0372	C	Citrate synthase	GltA	TCA cycle
COG0373	H	Glutamyl-tRNA reductase	HemA	Heme biosynthesis
COG0374	C	"Ni,Fe-hydrogenase I large subunit"	HyaB	
COG0375	O	"Hydrogenase maturation factor HypA/HybF, metallochaperone involved in Ni insertion"	HybF	
COG0376	P	Catalase (peroxidase I)	KatG	
COG0377	C	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase	NuoB	NADH dehydrogenase
COG0378	O	"Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase"	HypB	
COG0379	H	Quinolinate synthase	NadA	NAD biosynthesis
COG0380	G	"Trehalose-6-phosphate synthase, GT20 family"	OtsA	
COG0381	M	UDP-N-acetylglucosamine 2-epimerase	WecB	
COG0382	H	4-hydroxybenzoate polyprenyltransferase	UbiA	Ubiquinone biosynthesis
COG0383	G	Alpha-mannosidase	MngB	
COG0384	R	"Predicted epimerase YddE/YHI9, PhzF superfamily"	YHI9	
COG0385	R	Predicted Na+-dependent transporter YfeH	YfeH	
COG0386	VI	"Thioredoxin/glutathione peroxidase BtuE, reduces lipid peroxides"	BtuE	
COG0387	P	Cation (Ca2+/Na+/K+)/H+ antiporter ChaA	ChaA	
COG0388	C	"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate"	Nit2	
COG0389	L	Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair	DinP	
COG0390	P	"ABC-type iron transport system FetAB, permease component"	FetB	
COG0391	GH	"Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family"	CofD	
COG0392	M	"Predicted membrane flippase AglD2/YbhN, UPF0104 family"	AglD2	
COG0393	S	"Uncharacterized pentameric protein YbjQ, UPF0145 family"	YbjQ	
COG0394	T	Protein-tyrosine-phosphatase	Wzb	
COG0395	G	"ABC-type glycerol-3-phosphate transport system, permease component"	UgpE	
COG0396	O	Fe-S cluster assembly ATPase SufC	SufC	
COG0397	O	Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O)	SelO	
COG0398	S	"Uncharacterized membrane protein YdjX, related to fungal oxalate transporter, TVP38/TMEM64 family"	TVP38	
COG0399	M	"dTDP-4-amino-4,6-dideoxygalactose transaminase"	WecE	
COG0400	R	Predicted esterase	YpfH	
COG0401	C	"Membrane potential modulator PMP3/YqaE, plasma membrane proteolipid 3 (PMP3)/Esi3/RCI2/UPF0057 family"	YqaE	
COG0402	FR	Cytosine/adenosine deaminase or related metal-dependent hydrolase	SsnA	Pyrimidine salvage
COG0403	E	"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain"	GcvP1	Glycine cleavage
COG0404	E	Glycine cleavage system protein T (aminomethyltransferase)	GcvT	Glycine cleavage
COG0405	E	Gamma-glutamyltranspeptidase	Ggt	
COG0406	G	Broad specificity phosphatase PhoE	PhoE	
COG0407	H	Uroporphyrinogen-III decarboxylase HemE	HemE	Heme biosynthesis
COG0408	H	"Coproporphyrinogen-III oxidase HemH, oxygen-dependent"	HemF	Heme biosynthesis
COG0409	O	Hydrogenase maturation factor HypD	HypD	
COG0410	E	"ABC-type branched-chain amino acid transport system, ATPase component LivF"	LivF	
COG0411	E	"ABC-type branched-chain amino acid transport system, ATPase component LivG"	LivG	
COG0412	Q	Dienelactone hydrolase	DLH	
COG0413	H	Ketopantoate hydroxymethyltransferase	PanB	Pantothenate/CoA biosynthesis
COG0414	H	Panthothenate synthetase	PanC	Pantothenate/CoA biosynthesis
COG0415	L	Deoxyribodipyrimidine photolyase	PhrB	
COG0416	I	Acyl-ACP:phosphate acyltransferase (fatty acid/phospholipid biosynthesis)	PlsX	
COG0417	L	DNA polymerase B elongation subunit	PolB	
COG0418	F	Dihydroorotase	PyrC	Pyrimidine biosynthesis
COG0419	L	DNA repair exonuclease SbcCD ATPase subunit	SbcC	
COG0420	L	DNA repair exonuclease SbcCD nuclease subunit	SbcD	
COG0421	E	Spermidine synthase (polyamine aminopropyltransferase)	SpeE	
COG0422	H	4-amino-2-methyl-5-hydroxymethylpyrimidine (HMP) synthase ThiC	ThiC	Thiamine biosynthesis
COG0423	J	"Glycyl-tRNA synthetase, class II"	GRS1	Aminoacyl-tRNA synthetases
COG0424	Q	"7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily"	Maf	
COG0425	JHO	"Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)"	TusA	
COG0426	C	Flavorubredoxin	NorV	
COG0427	C	Propionyl CoA:succinate CoA transferase	ACH1	
COG0428	P	Zinc transporter ZupT	ZupT	
COG0429	R	Predicted hydrolase of the alpha/beta-hydrolase fold	YheT	
COG0430	A	RNA 3'-terminal phosphate cyclase	RCL1	
COG0431	C	NAD(P)H-dependent FMN reductase	SsuE	
COG0432	H	"Thiamin phosphate synthase YjbQ, UPF0047 family"	YjbQ	
COG0433	L	"Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains"	HerA	
COG0434	M	"Membrane biogenesis protein, BtpA/SgcQ family"	BtpA	
COG0435	C	Glutathionyl-hydroquinone reductase	ECM4	
COG0436	E	Aspartate/methionine/tyrosine aminotransferase	AspB	"Isoleucine, leucine, valine biosynthesis"
COG0437	C	Fe-S-cluster-containing dehydrogenase component (DMSO reductase)	HybA	
COG0438	M	Glycosyltransferase involved in cell wall bisynthesis	RfaB	
COG0439	I	Biotin carboxylase	AccC	Fatty acid biosynthesis
COG0440	E	"Acetolactate synthase, small subunit"	IlvH	"Isoleucine, leucine, valine biosynthesis"
COG0441	J	Threonyl-tRNA synthetase	ThrS	Aminoacyl-tRNA synthetases
COG0442	J	Prolyl-tRNA synthetase	ProS	Aminoacyl-tRNA synthetases
COG0443	O	Molecular chaperone DnaK (HSP70)	DnaK	
COG0444	EP	"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"	DppD	
COG0445	J	tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA	MnmG	tRNA modification
COG0446	I	"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase"	FadH2	
COG0447	H	"1,4-Dihydroxy-2-naphthoyl-CoA synthase"	MenB	Menaquinone biosynthesis
COG0448	G	Glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase)	GlgC	
COG0449	M	"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains"	GlmS	
COG0450	V	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	AhpC	
COG0451	M	Nucleoside-diphosphate-sugar epimerase	WcaG	
COG0452	H	Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC	CoaBC	Pantothenate/CoA biosynthesis
COG0454	KR	"N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)"	PhnO	
COG0455	DN	"MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase"	FlhG	
COG0456	J	Ribosomal protein S18 acetylase RimI and related acetyltransferases	RimI	
COG0457	R	Tetratricopeptide (TPR) repeat	TPR	
COG0458	EF	Carbamoylphosphate synthase large subunit	CarB	Arginine biosynthesis
COG0459	O	Chaperonin GroEL (HSP60 family)	GroEL	
COG0460	E	Homoserine dehydrogenase	ThrA	Methionine biosynthesis
COG0461	F	Orotate phosphoribosyltransferase	PyrE	Pyrimidine biosynthesis
COG0462	F	Phosphoribosylpyrophosphate synthetase	PrsA	"Histidine biosynthesis, Purine biosynthesis"
COG0463	M	Glycosyltransferase involved in cell wall bisynthesis	WcaA	
COG0464	MDT	"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family"	SpoVK	
COG0465	O	ATP-dependent Zn proteases	HflB	
COG0466	O	"ATP-dependent Lon protease, bacterial type"	Lon	
COG0467	T	"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family"	RAD55	
COG0468	L	RecA/RadA recombinase	RecA	
COG0469	G	Pyruvate kinase	PykF	Glycolysis
COG0470	L	"DNA polymerase III, delta prime subunit"	HolB	
COG0471	G	Di- and tricarboxylate antiporter	CitT	
COG0472	M	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	Rfe	Mureine biosynthesis
COG0473	CE	Isocitrate/isopropylmalate dehydrogenase	LeuB	TCA cycle
COG0474	P	Magnesium-transporting ATPase (P-type)	MgtA	
COG0475	P	"Kef-type K+ transport system, membrane component KefB"	KefB	
COG0476	H	Molybdopterin or thiamine biosynthesis adenylyltransferase	ThiF	Molybdopterin biosynthesis
COG0477	GEPR	"MFS family permease, includes anhydromuropeptide permease AmpG"	ProP	
COG0478	T	RIO-like serine/threonine protein kinase fused to N-terminal HTH domain	RIO2	
COG0479	C	"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit"	SdhB/FrdB	TCA cycle
COG0480	J	"Translation elongation factor EF-G, a GTPase"	FusA	Translation factors
COG0481	J	"Translation elongation factor EF-4, membrane-bound GTPase"	LepA	
COG0482	J	"tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain"	MnmA	tRNA modification
COG0483	G	"Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family"	SuhB	Gluconeogenesis
COG0484	O	DnaJ-class molecular chaperone with C-terminal Zn finger domain	DnaJ	
COG0486	J	tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE	MnmE	tRNA modification
COG0488	R	ATPase components of ABC transporters with duplicated ATPase domains	Uup	
COG0489	D	"Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family"	Mrp	
COG0490	PT	"K+/H+ antiporter KhtSTU, c-di-AMP-binding regulatory subunit KhtT, contains RCK_C (TrkA_C) domain"	KhtT	
COG0491	R	"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II"	GloB	
COG0492	O	Thioredoxin reductase	TrxB	
COG0493	ER	NADPH-dependent glutamate synthase beta chain or related oxidoreductase	GltD	Glutamine biosynthesis
COG0494	V	"8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family"	MutT	
COG0495	J	Leucyl-tRNA synthetase	LeuS	Aminoacyl-tRNA synthetases
COG0496	L	Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE	SurE	
COG0497	L	DNA repair ATPase RecN	RecN	
COG0498	E	Threonine synthase	ThrC	Threonine biosynthesis
COG0499	H	S-adenosylhomocysteine hydrolase	SAM1	
COG0500	QR	SAM-dependent methyltransferase	SmtA	
COG0501	O	Zn-dependent protease with chaperone function	HtpX	
COG0502	H	Biotin synthase or related enzyme	BioB	Biotin biosynthesis
COG0503	F	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	Apt	Purine salvage
COG0504	F	CTP synthase (UTP-ammonia lyase)	PyrG	Pyrimidine biosynthesis
COG0505	EF	Carbamoylphosphate synthase small subunit	CarA	Arginine biosynthesis
COG0506	E	Proline dehydrogenase	PutA	Proline degradation
COG0507	L	ATPase/5’-3’ helicase helicase subunit RecD of the DNA repair enzyme RecBCD (exonuclease V)	RecD	
COG0508	C	"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"	AceF	Pyruvate oxidation
COG0509	E	Glycine cleavage system protein H (lipoate-binding)	GcvH	Glycine cleavage
COG0510	H	Thiamine kinase or a related kinase	CotS	
COG0511	I	Biotin carboxyl carrier protein	AccB	Fatty acid biosynthesis
COG0512	EH	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	PabA	Aromatic amino acid biosynthesis
COG0513	L	Superfamily II DNA and RNA helicase	SrmB	
COG0514	L	Superfamily II DNA helicase RecQ	RecQ	
COG0515	T	Serine/threonine protein kinase	SPS1	
COG0516	F	IMP dehydrogenase/GMP reductase	GuaB	Purine biosynthesis
COG0517	T	CBS domain	CBS	
COG0518	F	"GMP synthase, glutamine amidotransferase domain"	GuaA1	Purine biosynthesis
COG0519	F	"GMP synthase, PP-ATPase domain/subunit"	GuaA2	Purine biosynthesis
COG0520	E	Selenocysteine lyase/Cysteine desulfurase	CsdA	
COG0521	H	Molybdopterin biosynthesis enzyme MoaB/MogA	MoaB	Molybdopterin biosynthesis
COG0522	J	Ribosomal protein S4 or related protein	RpsD	Ribosome 30S subunit
COG0523	R	"Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family"	YejR	
COG0524	G	"Sugar or nucleoside kinase, ribokinase family"	RbsK	Glycolysis
COG0525	J	Valyl-tRNA synthetase	ValS	Aminoacyl-tRNA synthetases
COG0526	O	Thiol-disulfide isomerase or thioredoxin	TrxA	
COG0527	E	Aspartate kinase	MetL1	Lysine biosynthesis
COG0528	F	Uridylate kinase	PyrH	Pyrimidine biosynthesis
COG0529	P	Adenylylsulfate kinase or related kinase	CysC	Cysteine biosynthesis
COG0530	P	Ca2+/Na+ antiporter	ECM27	
COG0531	E	"Serine transporter YbeC, amino acid:H+ symporter family"	PotE	
COG0532	J	"Translation initiation factor IF-2, a GTPase"	InfB	Translation factors
COG0533	J	tRNA A37 threonylcarbamoyltransferase TsaD	TsaD	tRNA modification
COG0534	V	"Na+-driven multidrug efflux pump, DinF/NorM/MATE family"	NorM	
COG0535	DH	"Radical SAM superfamily maturase, SkfB/NifB/PqqE family"	SkfB	
COG0536	DL	GTPase involved in cell partioning and DNA repair	Obg	
COG0537	FR	"Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family"	HinT	
COG0538	C	Isocitrate dehydrogenase	Icd	TCA cycle
COG0539	J	Ribosomal protein S1	RpsA	Ribosome 30S subunit
COG0540	F	"Aspartate carbamoyltransferase, catalytic subunit"	PyrB	Pyrimidine biosynthesis
COG0541	U	Signal recognition particle GTPase	Ffh	
COG0542	O	"ATP-dependent Clp protease, ATP-binding subunit ClpA"	ClpA	
COG0543	HC	NAD(P)H-flavin reductase	Mcr1	
COG0544	O	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	Tig	
COG0545	O	FKBP-type peptidyl-prolyl cis-trans isomerase	FkpA	
COG0546	C	"Phosphoglycolate phosphatase, HAD superfamily"	Gph	
COG0547	E	"Anthranilate phosphoribosyltransferase, glycosyltransferase domain"	TrpD	Aromatic amino acid biosynthesis
COG0548	E	N-acetylglutamate kinase	ArgB	Arginine biosynthesis
COG0549	E	Carbamate kinase	ArcC	
COG0550	L	DNA topoisomerase IA	TopA	
COG0551	L	"DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains"	YrdD	
COG0552	U	Signal recognition particle GTPase FtsY	FtsY	
COG0553	KL	"Superfamily II DNA or RNA helicase, SNF2 family"	HepA	
COG0554	C	Glycerol kinase	GlpK	
COG0555	P	"ABC-type sulfate transport system, permease component"	CysU	
COG0556	L	Excinuclease UvrABC helicase subunit UvrB	UvrB	
COG0557	K	Exoribonuclease R	VacB	
COG0558	I	Phosphatidylglycerophosphate synthase	PgsA	Phospholipid biosynthesis
COG0559	E	"Branched-chain amino acid ABC-type transport system, permease component"	LivH	
COG0560	E	Phosphoserine phosphatase	SerB	Serine biosynthesis
COG0561	HR	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	Cof	
COG0562	M	UDP-galactopyranose mutase	Glf	
COG0563	F	Adenylate kinase or related kinase	Adk	Pyrimidine biosynthesis
COG0564	J	"Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific"	RluA	23S rRNA modification
COG0565	J	"tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase"	TrmJ	tRNA modification
COG0566	J	tRNA G18 (ribose-2'-O)-methylase SpoU	SpoU	tRNA modification
COG0567	C	"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes"	SucA	TCA cycle
COG0568	K	"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)"	RpoD	RNA polymerase
COG0569	PT	"Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain"	TrkA	
COG0571	K	dsRNA-specific ribonuclease	Rnc	
COG0572	F	Uridine kinase	Udk	Pyrimidine salvage
COG0573	P	"ABC-type phosphate transport system, permease component"	PstC	
COG0574	G	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	PpsA	Gluconeogenesis
COG0575	I	CDP-diglyceride synthetase	CdsA	Phospholipid biosynthesis
COG0576	O	Molecular chaperone GrpE (heat shock protein HSP-70)	GrpE	
COG0577	V	"ABC-type antimicrobial peptide transport system, permease component"	SalY	
COG0578	C	Glycerol-3-phosphate dehydrogenase	GlpA	Isoprenoid biosynthesis
COG0579	G	L-2-hydroxyglutarate oxidase LhgO	LhgO	
COG0580	G	Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	GlpF	
COG0581	P	"ABC-type phosphate transport system, permease component"	PstA	
COG0582	LX	"Integrase/recombinase, includes phage integrase"	FimB	
COG0583	K	"DNA-binding transcriptional regulator, LysR family"	LysR	
COG0584	I	Glycerophosphoryl diester phosphodiesterase	UgpQ	
COG0585	J	tRNA(Glu) U13 pseudouridine synthase TruD	TruD	tRNA modification
COG0586	M	"Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family"	DedA	
COG0587	L	"DNA polymerase III, alpha subunit"	DnaE	
COG0588	G	Phosphoglycerate mutase (BPG-dependent)	GpmA	Glycolysis
COG0589	T	"Nucleotide-binding universal stress protein,  UspA family"	UspA	
COG0590	J	tRNA(Arg) A34 adenosine deaminase TadA	TadA	Pyrimidine salvagetRNA modification
COG0591	E	Na+/proline symporter	PutP	
COG0592	L	"DNA polymerase III sliding clamp (beta) subunit, PCNA homolog"	DnaN	
COG0593	L	Chromosomal replication initiation ATPase DnaA	DnaA	
COG0594	J	RNase P protein component	RnpA	
COG0595	J	mRNA degradation ribonuclease J1/J2	RnjA	
COG0596	HR	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold"	MenH	Menaquinone biosynthesis
COG0597	MU	Lipoprotein signal peptidase	LspA	
COG0598	P	Mg2+ and Co2+ transporter CorA	CorA	
COG0599	R	"Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family"	YurZ	
COG0600	P	"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"	TauC	
COG0601	EP	"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"	DppB	
COG0602	H	Organic radical activating enzyme NrdG/QueE	QueE	tRNA modification
COG0603	J	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	QueC	tRNA modification
COG0604	CR	NADPH:quinone reductase or related Zn-dependent oxidoreductase	Qor	
COG0605	P	Superoxide dismutase	SodA	
COG0606	O	"Predicted Mg-chelatase, contains ChlI-like and ATPase domains, YifB family"	YifB	
COG0607	P	Rhodanese-related sulfurtransferase	PspE	Urea cycle
COG0608	L	"ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation"	RecJ	
COG0609	P	"ABC-type Fe3+-siderophore transport system, permease component"	FepD	
COG0610	V	"Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ..."		
COG0611	H	Thiamine monophosphate kinase	ThiL	Thiamine biosynthesis
COG0612	R	"Predicted Zn-dependent peptidase, M16 family"	PqqL	
COG0613	F	"5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain"	YciV	
COG0614	P	"ABC-type Fe3+-hydroxamate transport system, periplasmic component"	FepB	
COG0615	M	"Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family"	TagD	Riboflavin/FAD biosynthesis
COG0616	O	"Periplasmic serine protease, ClpP class"	SppA	
